name,time,CH4
CH_4,1709712192500074952,3.00
CH_4,1709712197586826981,5.00
CH_4,1709712202560867270,4.00
CH_4,1709712207579150586,2.00
CH_4,1709712212567218887,2.00
CH_4,1709712217930158774,0.00
CH_4,1709712222679605760,2.00
CH_4,1709712227680215392,5.00
CH_4,1709712232770667550,6.00
CH_4,1709712237785509778,1.00
CH_4,1709712242749355990,1.00
CH_4,1709712247790026991,5.00
CH_4,1709712252778257188,0.00
CH_4,1709712257839239785,2.00
CH_4,1709712262839237792,0.00
CH_4,1709712267869095884,5.00
CH_4,1709712272813496412,5.00
CH_4,1709712277881090495,5.00
CH_4,1709712282826358074,1.00
CH_4,1709712287931280806,4.00
CH_4,1709712292858302920,5.00
CH_4,1709712297915311389,4.00
CH_4,1709712302875437890,5.00
CH_4,1709712307896466710,4.00
CH_4,1709712312913103544,2.00
CH_4,1709712317979687300,1.00
CH_4,1709712322888313790,1.00
CH_4,1709712328041131676,3.00
CH_4,1709712332900849013,5.00
CH_4,1709712337967423285,6.00
CH_4,1709712342933082372,2.00
CH_4,1709712347938958347,1.00
CH_4,1709712352960400634,4.00
CH_4,1709712357948647085,1.00
CH_4,1709712362978475839,5.00
CH_4,1709712368008323590,4.00
CH_4,1709712373043052360,3.00
CH_4,1709712378114598546,4.00
CH_4,1709712383068758593,4.00
CH_4,1709712388051750915,0.00
CH_4,1709712393094235557,3.00
CH_4,1709712398140448252,1.00
CH_4,1709712403098385638,4.00
CH_4,1709712408166684359,3.00
CH_4,1709712413106796287,5.00
CH_4,1709712418246906354,1.00
CH_4,1709712423190892835,3.00
CH_4,1709712428200516519,5.00
CH_4,1709712433196815270,6.00
CH_4,1709712438220462289,3.00
CH_4,1709712443209387595,3.00
CH_4,1709712448231266522,1.00
CH_4,1709712453241341034,4.00
CH_4,1709712458276694184,4.00
CH_4,1709712463227672958,0.00
CH_4,1709712468209592389,4.00
CH_4,1709712473223726017,5.00
CH_4,1709712478250318724,5.00
CH_4,1709712483208320672,5.00
CH_4,1709712488266152255,1.00
CH_4,1709712493287380098,1.00
CH_4,1709712498500210987,1.00
CH_4,1709712503318893379,3.00
CH_4,1709712508260958537,5.00
CH_4,1709712513251814213,3.00
CH_4,1709712518443805728,4.00
CH_4,1709712523313876678,2.00
CH_4,1709712528310311637,5.00
CH_4,1709712533297761813,1.00
CH_4,1709712538347648053,1.00
CH_4,1709712543332506236,3.00
CH_4,1709712548333136202,3.00
CH_4,1709712553318229679,2.00
CH_4,1709712558543723289,2.00
CH_4,1709712563423433470,4.00
CH_4,1709712568423013298,4.00
CH_4,1709712573439799905,5.00
CH_4,1709712578513736492,4.00
CH_4,1709712583493193678,2.00
CH_4,1709712588509121146,3.00
CH_4,1709712593500401000,0.00
CH_4,1709712598711229671,2.00
CH_4,1709712603575468724,3.00
CH_4,1709712608583204249,0.00
CH_4,1709712613588205656,1.00
CH_4,1709712618708068749,3.00
CH_4,1709712623682342703,4.00
CH_4,1709712628699162188,1.00
CH_4,1709712633608319019,3.00
CH_4,1709712639135480782,6.00
CH_4,1709712643627610583,5.00
CH_4,1709712648657022720,3.00
CH_4,1709712653644228581,0.00
CH_4,1709712658846663474,5.00
CH_4,1709712663757318487,1.00
CH_4,1709712668742226779,3.00
CH_4,1709712673733754946,4.00
CH_4,1709712679009641273,2.00
CH_4,1709712683798160467,4.00
CH_4,1709712688810084560,4.00
CH_4,1709712693811256534,3.00
CH_4,1709712698914758810,2.00
CH_4,1709712703863961346,4.00
CH_4,1709712708867862355,5.00
CH_4,1709712713870021435,1.00
CH_4,1709712719076167275,3.00
CH_4,1709712723967733236,4.00
CH_4,1709712728996293596,5.00
CH_4,1709712733982469089,0.00
CH_4,1709712739128642214,5.00
CH_4,1709712744048544133,2.00
CH_4,1709712749037948298,4.00
CH_4,1709712754035591711,5.00
CH_4,1709712759075556854,1.00
CH_4,1709712764068553754,3.00
CH_4,1709712769077334053,5.00
CH_4,1709712774084097892,5.00
CH_4,1709712779316467350,3.00
CH_4,1709712784131603659,0.00
CH_4,1709712789172654492,4.00
CH_4,1709712794157359135,0.00
CH_4,1709712799403537916,0.00
CH_4,1709712804293931077,3.00
CH_4,1709712809324537222,3.00
CH_4,1709712814322767180,1.00
CH_4,1709712819427866336,1.00
CH_4,1709712824356620489,2.00
CH_4,1709712829396284250,5.00
CH_4,1709712834418546271,4.00
CH_4,1709712839440604590,0.00
CH_4,1709712844411959571,3.00
CH_4,1709712849463451412,5.00
CH_4,1709712854458936333,2.00
CH_4,1709712859489767841,1.00
CH_4,1709712864485561658,5.00
CH_4,1709712869483512080,4.00
CH_4,1709712874488311545,4.00
CH_4,1709712879504687492,4.00
CH_4,1709712884461252986,4.00
CH_4,1709712889535669635,0.00
CH_4,1709712894509262063,3.00
CH_4,1709712899594886700,6.00
CH_4,1709712904549989731,4.00
CH_4,1709712909536600868,5.00
CH_4,1709712914609931819,1.00
CH_4,1709712919636106562,0.00
CH_4,1709712924657923914,2.00
CH_4,1709712929667237955,2.00
CH_4,1709712934639696183,4.00
CH_4,1709712939695084233,4.00
CH_4,1709712944657735911,1.00
CH_4,1709712949715446239,2.00
CH_4,1709712954709077844,2.00
CH_4,1709712959736702967,3.00
CH_4,1709712964692585476,4.00
CH_4,1709712969775963858,4.00
CH_4,1709712974757919847,4.00
CH_4,1709712979755835641,2.00
CH_4,1709712984802601640,1.00
CH_4,1709712989768418589,3.00
CH_4,1709712994768531346,5.00
CH_4,1709712999806704904,0.00
CH_4,1709713004837121652,5.00
CH_4,1709713009840992255,5.00
CH_4,1709713014869502593,5.00
CH_4,1709713019906083640,2.00
CH_4,1709713025070917015,4.00
CH_4,1709713029887811906,3.00
CH_4,1709713034961023593,3.00
CH_4,1709713039899214990,3.00
CH_4,1709713044896784644,4.00
CH_4,1709713049897493506,2.00
CH_4,1709713054906524013,0.00
CH_4,1709713060026929906,1.00
CH_4,1709713064930523912,3.00
CH_4,1709713070008040931,5.00
CH_4,1709713075001649739,4.00
CH_4,1709713080042040944,4.00
CH_4,1709713085091139576,2.00
CH_4,1709713090096907203,2.00
CH_4,1709713095120012081,4.00
CH_4,1709713100220446323,5.00
CH_4,1709713105159173094,0.00
CH_4,1709713110176359538,4.00
CH_4,1709713115221569201,4.00
CH_4,1709713120367124532,0.00
CH_4,1709713125300240782,1.00
CH_4,1709713130291354562,5.00
CH_4,1709713135296572423,4.00
CH_4,1709713140304765118,2.00
CH_4,1709713145347854924,3.00
CH_4,1709713150348437057,2.00
CH_4,1709713155312458329,4.00
CH_4,1709713160306983021,5.00
CH_4,1709713165346123866,5.00
CH_4,1709713170382068048,2.00
CH_4,1709713175349173677,1.00
CH_4,1709713180392649608,1.00
CH_4,1709713185357586121,0.00
CH_4,1709713190420226850,2.00
CH_4,1709713195448524264,1.00
CH_4,1709713200490631594,3.00
CH_4,1709713205494376817,4.00
CH_4,1709713210458995141,2.00
CH_4,1709713215515465662,0.00
CH_4,1709713220578105574,5.00
CH_4,1709713225549948396,2.00
CH_4,1709713230553996034,3.00
CH_4,1709713235535736030,2.00
CH_4,1709713240584168304,3.00
CH_4,1709713245573900516,6.00
CH_4,1709713250604299683,2.00
CH_4,1709713255601049226,5.00
CH_4,1709713260858720949,2.00
CH_4,1709713265722363143,3.00
CH_4,1709713270776029849,3.00
CH_4,1709713275707415162,1.00
CH_4,1709713280736240389,5.00
CH_4,1709713285719001902,4.00
CH_4,1709713290706164192,3.00
CH_4,1709713295728543751,2.00
CH_4,1709713300776775263,4.00
CH_4,1709713305741534568,2.00
CH_4,1709713310796307625,4.00
CH_4,1709713315768219968,3.00
CH_4,1709713320837872177,3.00
CH_4,1709713325769936251,0.00
CH_4,1709713330775465148,0.00
CH_4,1709713335821435176,0.00
CH_4,1709713340923338622,5.00
CH_4,1709713345892760411,1.00
CH_4,1709713350872795340,1.00
CH_4,1709713355898795632,5.00
CH_4,1709713360871484324,4.00
CH_4,1709713365902325061,3.00
CH_4,1709713371071430724,0.00
CH_4,1709713375951488984,6.00
CH_4,1709713380989751118,4.00
CH_4,1709713385963604308,2.00
CH_4,1709713391265304594,3.00
CH_4,1709713396015343345,0.00
CH_4,1709713401049713898,6.00
CH_4,1709713406021364315,5.00
CH_4,1709713411070897409,4.00
CH_4,1709713416043057863,5.00
CH_4,1709713421124131201,1.00
CH_4,1709713426040317269,0.00
CH_4,1709713431113384331,4.00
CH_4,1709713436053867347,1.00
CH_4,1709713441362810673,3.00
CH_4,1709713446164718623,5.00
CH_4,1709713451172086168,0.00
CH_4,1709713456101857417,2.00
CH_4,1709713461142703981,1.00
CH_4,1709713466118520351,2.00
CH_4,1709713471128816325,1.00
CH_4,1709713476142904579,3.00
CH_4,1709713481309512022,1.00
CH_4,1709713486176334306,5.00
CH_4,1709713491186077432,5.00
CH_4,1709713496171087282,3.00
CH_4,1709713501359843121,3.00
CH_4,1709713506248991094,4.00
CH_4,1709713511345607054,1.00
CH_4,1709713516255048659,4.00
CH_4,1709713521368844556,2.00
CH_4,1709713526354235962,3.00
CH_4,1709713531355282480,1.00
CH_4,1709713536359374702,1.00
CH_4,1709713541458434285,1.00
CH_4,1709713546400437626,2.00
CH_4,1709713551408413193,5.00
CH_4,1709713556414469185,0.00
CH_4,1709713561504235942,1.00
CH_4,1709713566477426770,1.00
CH_4,1709713571485515612,2.00
CH_4,1709713576486750486,2.00
CH_4,1709713581551139116,4.00
CH_4,1709713586529395799,5.00
CH_4,1709713591552225348,5.00
CH_4,1709713596558525416,3.00
CH_4,1709713601610049131,4.00
CH_4,1709713606573394465,5.00
CH_4,1709713611613113527,6.00
CH_4,1709713616595036898,3.00
CH_4,1709713621696485276,3.00
CH_4,1709713626644019674,1.00
CH_4,1709713631652219220,2.00
CH_4,1709713636638912885,4.00
CH_4,1709713641764683363,1.00
CH_4,1709713646685085466,2.00
CH_4,1709713651697295121,3.00
CH_4,1709713656678404954,0.00
CH_4,1709713661731503840,1.00
CH_4,1709713666694138647,2.00
CH_4,1709713671693649882,1.00
CH_4,1709713676700330047,4.00
CH_4,1709713681818507315,3.00
CH_4,1709713686788765353,2.00
CH_4,1709713691800379789,6.00
CH_4,1709713696794214659,4.00
CH_4,1709713701826202575,3.00
CH_4,1709713706790992888,4.00
CH_4,1709713711834858732,1.00
CH_4,1709713716804734034,3.00
CH_4,1709713721869099935,2.00
CH_4,1709713726855322786,4.00
CH_4,1709713731877782221,3.00
CH_4,1709713736841826782,2.00
CH_4,1709713741965335548,0.00
CH_4,1709713746912709613,1.00
CH_4,1709713751905954840,6.00
CH_4,1709713756924604005,3.00
CH_4,1709713761960254780,5.00
CH_4,1709713766934523145,1.00
CH_4,1709713771966813033,3.00
CH_4,1709713776936303067,1.00
CH_4,1709713781998693251,1.00
CH_4,1709713786983913794,2.00
CH_4,1709713791986259552,1.00
CH_4,1709713796974818741,4.00
CH_4,1709713802017942404,0.00
CH_4,1709713807011225665,4.00
CH_4,1709713812010166501,4.00
CH_4,1709713816992443214,1.00
CH_4,1709713822146901703,1.00
CH_4,1709713827100290246,1.00
CH_4,1709713832126672340,0.00
CH_4,1709713837110488720,6.00
CH_4,1709713842189911955,4.00
CH_4,1709713847134190515,5.00
CH_4,1709713852134538244,1.00
CH_4,1709713857150136197,0.00
CH_4,1709713862192875352,4.00
CH_4,1709713867173014216,2.00
CH_4,1709713872163431419,4.00
CH_4,1709713877189916836,4.00
CH_4,1709713882357667464,3.00
CH_4,1709713887315830525,0.00
CH_4,1709713892318959593,1.00
CH_4,1709713897246458824,2.00
CH_4,1709713902509135150,3.00
CH_4,1709713907318255085,2.00
CH_4,1709713912351330732,4.00
CH_4,1709713917360289210,2.00
CH_4,1709713922451394631,3.00
CH_4,1709713927371370016,2.00
CH_4,1709713932379325385,3.00
CH_4,1709713937388260438,5.00
CH_4,1709713942433614230,1.00
CH_4,1709713947420426659,4.00
CH_4,1709713952427714819,5.00
CH_4,1709713957421062627,2.00
CH_4,1709713962625459170,4.00
CH_4,1709713967503421416,4.00
CH_4,1709713972507021027,0.00
CH_4,1709713977504487660,5.00
CH_4,1709713982493597299,5.00
CH_4,1709713987497021253,5.00
CH_4,1709713992516141818,0.00
CH_4,1709713997481002522,3.00
CH_4,1709714002719987387,4.00
CH_4,1709714007604713809,2.00
CH_4,1709714012593874821,5.00
CH_4,1709714017602512301,1.00
CH_4,1709714022731544814,2.00
CH_4,1709714027634312817,5.00
CH_4,1709714032657155282,0.00
CH_4,1709714037642787633,1.00
CH_4,1709714042959803906,4.00
CH_4,1709714047758144698,4.00
CH_4,1709714052759745645,5.00
CH_4,1709714057684447448,0.00
CH_4,1709714062796313994,1.00
CH_4,1709714067728614727,2.00
CH_4,1709714072740083051,3.00
CH_4,1709714077711974140,5.00
CH_4,1709714082786996822,4.00
CH_4,1709714087779077134,3.00
CH_4,1709714092775839730,1.00
CH_4,1709714097781869724,4.00
CH_4,1709714102939406708,3.00
CH_4,1709714107848025867,5.00
CH_4,1709714112861022500,0.00
CH_4,1709714117854645234,4.00
CH_4,1709714122915464536,4.00
CH_4,1709714127890252010,4.00
CH_4,1709714132888245663,5.00
CH_4,1709714137884176338,3.00
CH_4,1709714143069513528,4.00
CH_4,1709714147952566762,4.00
CH_4,1709714152976196012,2.00
CH_4,1709714157986709091,1.00
CH_4,1709714163169336353,5.00
CH_4,1709714168029074500,6.00
CH_4,1709714173041344352,5.00
CH_4,1709714178027828489,6.00
CH_4,1709714183102230316,2.00
CH_4,1709714188068185730,3.00
CH_4,1709714193084128518,2.00
CH_4,1709714198073828407,3.00
CH_4,1709714203237902411,1.00
CH_4,1709714208223516839,6.00
CH_4,1709714213196155529,5.00
CH_4,1709714218194626765,2.00
CH_4,1709714223293422109,3.00
CH_4,1709714228254659879,2.00
CH_4,1709714233268737368,3.00
CH_4,1709714238256077701,0.00
CH_4,1709714243454347489,3.00
CH_4,1709714248322751653,3.00
CH_4,1709714253335684928,2.00
CH_4,1709714258324808502,1.00
CH_4,1709714263388008384,5.00
CH_4,1709714268358999993,2.00
CH_4,1709714273594043293,5.00
CH_4,1709714278365816891,1.00
CH_4,1709714283573477381,0.00
CH_4,1709714288478505558,0.00
CH_4,1709714293476266523,5.00
CH_4,1709714298457784733,5.00
CH_4,1709714303501515120,4.00
CH_4,1709714308516510708,1.00
CH_4,1709714313499343943,5.00
CH_4,1709714318496305762,4.00
CH_4,1709714323637453488,1.00
CH_4,1709714328554474810,1.00
CH_4,1709714333580718044,3.00
CH_4,1709714338581705553,5.00
CH_4,1709714343648811231,4.00
CH_4,1709714348590113170,2.00
CH_4,1709714353594345411,2.00
CH_4,1709714358610763112,4.00
CH_4,1709714363807233773,2.00
CH_4,1709714368692528763,5.00
CH_4,1709714373716892196,5.00
CH_4,1709714378697304271,1.00
CH_4,1709714384082407827,3.00
CH_4,1709714388770655606,1.00
CH_4,1709714393777708699,4.00
CH_4,1709714398786977248,5.00
CH_4,1709714403955533518,0.00
CH_4,1709714408930936386,5.00
CH_4,1709714413876034062,1.00
CH_4,1709714418867742754,5.00
CH_4,1709714424088556193,4.00
CH_4,1709714428969220507,2.00
CH_4,1709714433927249351,4.00
CH_4,1709714438867623799,4.00
CH_4,1709714444008897549,2.00
CH_4,1709714448920525919,3.00
CH_4,1709714453897781985,3.00
CH_4,1709714458879488308,4.00
CH_4,1709714464001445188,4.00
CH_4,1709714468982347071,4.00
CH_4,1709714474008984083,1.00
CH_4,1709714478977592616,3.00
CH_4,1709714484117316616,2.00
CH_4,1709714489092481343,4.00
CH_4,1709714494088903737,5.00
CH_4,1709714499112083435,3.00
CH_4,1709714504177827114,5.00
CH_4,1709714509140470524,4.00
CH_4,1709714514135889577,5.00
CH_4,1709714519130723317,0.00
CH_4,1709714524320728985,4.00
CH_4,1709714529221381477,1.00
CH_4,1709714534230326163,2.00
CH_4,1709714539220229123,3.00
CH_4,1709714544317642659,2.00
CH_4,1709714549293012960,1.00
CH_4,1709714554306294220,2.00
CH_4,1709714559337573877,5.00
CH_4,1709714564554019976,1.00
CH_4,1709714569410212582,3.00
CH_4,1709714574434053133,5.00
CH_4,1709714579421686383,3.00
CH_4,1709714584521985779,1.00
CH_4,1709714589454077872,3.00
CH_4,1709714594465800734,0.00
CH_4,1709714599438729421,2.00
CH_4,1709714604496244503,0.00
CH_4,1709714609485032067,0.00
CH_4,1709714614496312096,2.00
CH_4,1709714619511285884,3.00
CH_4,1709714624702841775,4.00
CH_4,1709714630272177696,1.00
CH_4,1709714635193547571,1.00
CH_4,1709714640180318676,3.00
CH_4,1709714645216867049,1.00
CH_4,1709714650184880932,2.00
CH_4,1709714655250120325,4.00
CH_4,1709714660210699335,4.00
CH_4,1709714665205162951,2.00
CH_4,1709714670190929807,5.00
CH_4,1709714675192094024,1.00
CH_4,1709714680192536432,4.00
CH_4,1709714685216284225,5.00
CH_4,1709714690209726765,1.00
CH_4,1709714695206643331,3.00
CH_4,1709714700205177412,3.00
CH_4,1709714708137921166,4.00
CH_4,1709714713086374571,2.00
CH_4,1709714718061245446,4.00
CH_4,1709714723088330672,4.00
CH_4,1709714728092507994,3.00
CH_4,1709714733082451477,3.00
CH_4,1709714738076872218,1.00
CH_4,1709714743121445590,0.00
CH_4,1709714748168568720,2.00
CH_4,1709714753180030822,2.00
CH_4,1709714758190031692,3.00
CH_4,1709714763187386903,3.00
CH_4,1709714768243341256,2.00
CH_4,1709714773219987494,3.00
CH_4,1709714778258014489,2.00
CH_4,1709714783308455465,3.00
CH_4,1709714788271700097,0.00
CH_4,1709714793240753189,3.00
CH_4,1709714798280288654,5.00
CH_4,1709714803547400776,3.00
CH_4,1709714810369992323,5.00
CH_4,1709714815382912423,1.00
CH_4,1709714820370691450,4.00
CH_4,1709714825458330872,4.00
CH_4,1709714831812040239,1.00
CH_4,1709714836794893339,5.00
CH_4,1709714841799542142,0.00
CH_4,1709714846808641595,4.00
CH_4,1709714851803972062,2.00
CH_4,1709714856783831876,2.00
CH_4,1709714861777896403,4.00
CH_4,1709714866779588248,2.00
CH_4,1709714871795917515,4.00
CH_4,1709714876783950193,1.00
CH_4,1709714881777514199,1.00
CH_4,1709714886815017451,3.00
CH_4,1709714892036635989,5.00
CH_4,1709714896960183773,3.00
CH_4,1709714901840110075,3.00
CH_4,1709714906845818644,5.00
CH_4,1709714912288369782,4.00
CH_4,1709714917222914240,5.00
CH_4,1709714922223499922,6.00
CH_4,1709714927242888236,1.00
CH_4,1709714932409314228,5.00
CH_4,1709714937349155051,2.00
CH_4,1709714942371319649,1.00
CH_4,1709714947341683185,3.00
CH_4,1709714952394003830,5.00
CH_4,1709714957371656436,2.00
CH_4,1709714963355986502,1.00
CH_4,1709714968315480937,5.00
CH_4,1709714973357772219,6.00
CH_4,1709714978361958430,3.00
CH_4,1709714983341001237,1.00
CH_4,1709714988340876261,2.00
CH_4,1709714993331177046,5.00
CH_4,1709714998325837915,3.00
CH_4,1709715003419955992,2.00
CH_4,1709715008343723130,2.00
CH_4,1709715013348705656,4.00
CH_4,1709715018351693579,4.00
CH_4,1709715023486998446,3.00
CH_4,1709715028449083105,4.00
CH_4,1709715033455247844,2.00
CH_4,1709715038456879076,1.00
CH_4,1709715043595954644,3.00
CH_4,1709715048504609444,0.00
CH_4,1709715053515497545,6.00
CH_4,1709715058504722350,0.00
CH_4,1709715063664565757,1.00
CH_4,1709715068589725327,0.00
CH_4,1709715073701816152,4.00
CH_4,1709715078614707616,5.00
CH_4,1709715083698590858,0.00
CH_4,1709715088658187437,5.00
CH_4,1709715093657683262,1.00
CH_4,1709715098649023448,4.00
CH_4,1709715103822093480,2.00
CH_4,1709715108769539786,4.00
CH_4,1709715113816435119,3.00
CH_4,1709715118711202340,4.00
CH_4,1709715123822381639,3.00
CH_4,1709715128794183761,2.00
CH_4,1709715133844924030,2.00
CH_4,1709715138895909907,6.00
CH_4,1709715144073674858,3.00
CH_4,1709715148912089705,1.00
CH_4,1709715153910034818,6.00
CH_4,1709715158979060213,5.00
CH_4,1709715163960775039,1.00
CH_4,1709715169017299886,2.00
CH_4,1709715174053605400,2.00
CH_4,1709715179006250345,0.00
CH_4,1709715184024197865,4.00
CH_4,1709715189096145932,3.00
CH_4,1709715194071383017,3.00
CH_4,1709715199062953053,3.00
CH_4,1709715204259833392,5.00
CH_4,1709715209136329261,4.00
CH_4,1709715214132727953,6.00
CH_4,1709715219136791786,5.00
CH_4,1709715224176624452,3.00
CH_4,1709715229149415714,1.00
CH_4,1709715234150413936,4.00
CH_4,1709715239138549388,5.00
CH_4,1709715244249761514,5.00
CH_4,1709715250948077589,5.00
CH_4,1709715255975858248,4.00
CH_4,1709715261049036592,1.00
CH_4,1709715265961618091,1.00
CH_4,1709715270966352731,5.00
CH_4,1709715275989288917,4.00
CH_4,1709715280967098384,5.00
CH_4,1709715285986924390,4.00
CH_4,1709715290965788938,2.00
CH_4,1709715295963778001,1.00
CH_4,1709715300955226481,3.00
CH_4,1709715305958975258,1.00
CH_4,1709715311137878089,4.00
CH_4,1709715316104239615,3.00
CH_4,1709715321047072180,1.00
CH_4,1709715326055207787,0.00
CH_4,1709715331178298558,2.00
CH_4,1709715336123311871,5.00
CH_4,1709715341127682551,4.00
CH_4,1709715346126950411,6.00
CH_4,1709715351290871282,4.00
CH_4,1709715356437737044,2.00
CH_4,1709715361347092556,2.00
CH_4,1709715366286075706,3.00
CH_4,1709715371445365912,4.00
CH_4,1709715376411779554,5.00
CH_4,1709715381407012397,6.00
CH_4,1709715386351768943,6.00
CH_4,1709715391542575558,0.00
CH_4,1709715396535177174,4.00
CH_4,1709715401397056480,1.00
CH_4,1709715406390544797,1.00
CH_4,1709715411683414985,2.00
CH_4,1709715416499953654,3.00
CH_4,1709715421558539838,2.00
CH_4,1709715426524842867,5.00
CH_4,1709715431611188035,1.00
CH_4,1709715436668672109,5.00
CH_4,1709715441678391087,0.00
CH_4,1709715446606566959,3.00
CH_4,1709715451755670663,2.00
CH_4,1709715456624787060,6.00
CH_4,1709715461633340848,5.00
CH_4,1709715466629346976,6.00
CH_4,1709715471790600642,4.00
CH_4,1709715476714427977,5.00
CH_4,1709715481776530881,4.00
CH_4,1709715486705441011,2.00
CH_4,1709715491935126026,0.00
CH_4,1709715496812539024,2.00
CH_4,1709715501812457178,0.00
CH_4,1709715506823857665,0.00
CH_4,1709715511953608413,3.00
CH_4,1709715516902324168,0.00
CH_4,1709715521906177291,4.00
CH_4,1709715526899469629,3.00
CH_4,1709715532146323273,5.00
CH_4,1709715537077290099,1.00
CH_4,1709715542057970181,2.00
CH_4,1709715547020780523,2.00
CH_4,1709715552059119632,4.00
CH_4,1709715557136913615,4.00
CH_4,1709715562141467410,6.00
CH_4,1709715567045131185,2.00
CH_4,1709715572224693129,5.00
CH_4,1709715577211148369,4.00
CH_4,1709715582195415531,5.00
CH_4,1709715587174984094,5.00
CH_4,1709715592258477611,0.00
CH_4,1709715597184468214,1.00
CH_4,1709715602213772832,3.00
CH_4,1709715607194998297,0.00
CH_4,1709715612460726249,0.00
CH_4,1709715617237897770,5.00
CH_4,1709715622331162026,4.00
CH_4,1709715627244907805,4.00
CH_4,1709715632402682076,4.00
CH_4,1709715637326375548,4.00
CH_4,1709715642401148329,6.00
CH_4,1709715647380840205,0.00
CH_4,1709715652494228844,4.00
CH_4,1709715657468322586,2.00
CH_4,1709715662694735335,3.00
CH_4,1709715668193322969,2.00
CH_4,1709715673145300087,4.00
CH_4,1709715678137746976,5.00
CH_4,1709715683147890831,2.00
CH_4,1709715688149327705,4.00
CH_4,1709715693099050168,5.00
CH_4,1709964475879038153,2.00
CH_4,1709964476000202768,3.00
CH_4,1709964476023397206,4.00
CH_4,1709964476110918207,3.00
CH_4,1709964476158054110,2.00
CH_4,1709964476262945458,2.00
CH_4,1709964476448890540,2.00
CH_4,1709964476645575267,2.00
CH_4,1709964476859549039,4.00
CH_4,1709964477048952493,2.00
CH_4,1709964477255271816,4.00
CH_4,1709964477493651999,1.00
CH_4,1709964478131086665,2.00
CH_4,1709964478314958423,0.00
CH_4,1709964480118979213,4.00
CH_4,1709964480149533464,3.00
CH_4,1710005337760038903,4.00
CH_4,1710005342742168582,1.00
CH_4,1710005347766138632,2.00
CH_4,1710005356725749444,3.00
CH_4,1710005361712803179,0.00
CH_4,1710005366710498490,2.00
CH_4,1710005371720656448,2.00
CH_4,1710005376699665172,4.00
CH_4,1710005381717411441,5.00
CH_4,1710005386713264497,2.00
CH_4,1710005391710663742,5.00
CH_4,1710005396726692056,5.00
CH_4,1710005401710728048,2.00
CH_4,1710005406719056028,5.00
CH_4,1710005411720937483,3.00
CH_4,1710005416744826806,0.00
CH_4,1710005421739722288,4.00
